Gene	PM1	PM2	LN1	LN2
1/2-SBSRNA4	18	24	17	25
A1BG	34	74	99	107
A1BG-AS1	32	44	56	33
A1CF	1	0	2	0
A2LD1	103	121	0	4
A2M	6	15	70	46
A2ML1	9	12	242	219
A2MP1	0	0	13	8
A4GALT	279	143	32	43
A4GNT	0	1	0	0
AA06	0	0	0	0
AAA1	0	1	0	1
AAAS	1581	1336	1642	1794
AACS	1461	1421	2002	2255
AACSP1	10	9	42	42
AADAC	0	0	0	0
AADACL2	0	0	0	0
AADACL3	0	0	0	0
AADACL4	0	0	1	2
AADAT	302	258	640	689
AAGAB	3234	2466	1634	1747
AAK1	431	244	681	533
AAMP	4771	4353	2563	3022
AANAT	3	0	4	2
AARS	9842	5642	12264	12875
AARS2	711	733	941	931
AARSD1	594	473	1028	1281
AASDH	524	475	406	376
AASDHPPT	1580	1148	2054	2088
AASS	18	16	135	111
AATF	1319	843	1443	1451
AATK	186	396	69	55
AATK-AS1	2	2	0	0
ABAT	3084	1507	213	199
ABCA1	3	8	126	85
ABCA10	2	5	5	2
ABCA11P	193	197	268	257
ABCA12	1201	1942	252	227
ABCA13	2	0	1	2
ABCA17P	9	6	62	47
ABCA2	4798	3715	2736	2021
ABCA3	2488	1945	1797	1665
ABCA4	90	52	5	10
ABCA5	194	272	188	164
ABCA6	0	0	0	0
ABCA7	287	530	725	602
ABCA8	0	0	0	0
ABCA9	1	0	0	1
ABCB1	2	0	0	1
ABCB10	489	374	801	863
ABCB11	0	0	25	28
ABCB4	53	119	4	1
ABCB5	0	0	8	4
ABCB6	1568	1757	1786	1915
ABCB7	288	273	908	861
ABCB8	1438	1073	982	1014
ABCB9	276	386	286	307
ABCC1	2414	1919	2080	1725
ABCC10	614	533	385	317
ABCC11	8	54	3	7
ABCC12	1	3	0	1
ABCC13	0	0	0	0
ABCC2	71	52	8	9
ABCC3	7	10	20	9
ABCC4	429	188	4880	4112
ABCC5	2632	3522	976	843
ABCC6	11	7	18	18
ABCC6P1	0	0	2	9
ABCC6P2	0	1	3	2
ABCC8	31	48	125	93
ABCC9	2	0	1	4
ABCD1	1280	1574	1709	1557
ABCD2	1	0	2	7
ABCD3	769	469	1886	1982
ABCD4	692	653	478	525
ABCE1	4677	2377	3053	3306
ABCF1	5828	4255	2829	2887
ABCF2	5553	3081	2431	2536
ABCF3	2415	2192	1954	2298
ABCG1	1003	1719	485	469
ABCG2	263	325	50	63
ABCG4	6	7	18	16
ABCG5	0	0	0	1
ABCG8	0	3	0	0
ABHD1	19	25	6	4
ABHD10	837	705	3259	3519
ABHD11	2233	2771	990	1128
ABHD11-AS1	5	15	6	9
ABHD12	1192	1260	1384	1429
ABHD12B	0	0	0	0
ABHD13	720	638	325	311
ABHD14A	35	22	224	268
ABHD14A-ACY1	0	0	0	0
ABHD14B	934	1170	1202	1378
ABHD15	484	573	306	339
ABHD16A	696	757	503	624
ABHD16B	42	64	163	130
ABHD2	3268	2677	25397	20424
ABHD3	363	470	360	393
ABHD4	207	232	1208	1323
ABHD5	499	447	964	1042
ABHD6	110	60	679	728
ABHD8	60	53	659	662
ABI1	2293	1948	1001	1018
ABI2	2672	2035	615	587
ABI3	0	1	18	14
ABI3BP	1	3	2	2
ABL1	2697	2106	1991	1872
ABL2	1021	621	596	495
ABLIM1	3060	1603	1651	1327
ABLIM2	87	68	18	24
ABLIM3	213	177	56	76
ABO	0	0	0	1
ABP1	1	0	4	5
ABR	3104	2973	1708	1587
ABRA	1	0	0	0
ABT1	1031	1095	643	684
ABTB1	82	195	75	63
ABTB2	502	442	657	586
ACAA1	1342	1501	1029	1172
ACAA2	3255	4561	611	634
ACACA	3901	2097	8728	6843
ACACB	366	468	439	432
ACAD10	820	816	810	744
ACAD11	47	63	61	38
ACAD8	672	565	653	758
ACAD9	1349	1202	1416	1498
ACADL	102	130	9	7
ACADM	1223	1330	2002	2088
ACADS	98	162	233	275
ACADSB	1031	1025	3803	3450
ACADVL	4757	6772	7192	7609
ACAN	2	0	11	3
ACAP1	18	40	48	56
ACAP2	2661	2264	1591	1337
ACAP3	598	793	1491	1374
ACAT1	1886	1661	4525	4777
ACAT2	1890	1324	1461	1590
ACBD3	1453	1396	1783	1757
ACBD4	186	264	281	300
ACBD5	2206	2171	1251	1312
ACBD6	1443	1242	659	701
ACBD7	357	428	291	334
ACCN1	0	0	0	0
ACCN2	506	424	334	316
ACCN3	72	97	54	56
ACCN4	2	2	3	1
ACCN5	0	0	0	1
ACCS	188	309	0	0
ACCSL	0	0	0	0
ACD	620	781	355	380
ACE	25	33	6	8
ACE2	12	1	33	23
ACER1	2	2	2	7
ACER2	90	56	242	205
ACER3	412	204	612	520
ACHE	6	14	16	25
ACIN1	7826	6139	3713	3697
ACLY	14607	10974	15834	14420
ACMSD	2	2	4	1
ACN9	4	1	783	937
ACO1	568	542	1356	1404
ACO2	2752	2287	1955	1945
ACOT1	4	3	87	99
ACOT11	3	4	148	155
ACOT12	0	2	0	0
ACOT13	830	606	736	833
ACOT2	19	6	450	492
ACOT4	450	369	1	0
ACOT6	14	7	0	0
ACOT7	727	636	998	1303
ACOT8	223	273	331	459
ACOT9	948	737	469	537
ACOX1	1775	1816	1789	1798
ACOX2	13	6	626	618
ACOX3	899	643	271	257
ACOXL	2	0	14	11
ACP1	2365	2158	2093	2400
ACP2	477	598	975	1078
ACP5	0	10	6	9
ACP6	679	756	421	419
ACPL2	443	430	360	329
ACPP	74	79	296	305
ACPT	1	0	16	14
ACR	0	1	3	0
ACRBP	8	11	6	5
ACRC	16	17	29	32
ACRV1	12	6	8	6
ACSBG1	10	5	28	33
ACSBG2	4	5	38	31
ACSF2	522	660	268	233
ACSF3	1265	1288	547	617
ACSL1	1663	1128	14294	12796
ACSL3	2627	2758	5806	5520
ACSL4	133	42	202	207
ACSL5	4	0	42	54
ACSL6	1	0	35	39
ACSM1	6	7	13	8
ACSM2A	0	0	0	0
ACSM2B	0	0	1	0
ACSM3	76	31	850	914
