ProbeIDs	GAOM_10	GAOM_11	GAOM_1	GAOM_2	GAOM_3	GAOM_6
0610005C13Rik	0	2	0	1	3	1
0610007C21Rik	180	209	124	142	205	138
0610007L01Rik	690	606	449	452	566	733
0610007P08Rik	163	158	148	116	132	166
0610007P14Rik	123	100	52	78	110	99
0610007P22Rik	52	58	30	29	43	48
0610008F07Rik	0	0	0	0	0	0
0610009B14Rik	0	0	0	1	0	0
0610009B22Rik	66	78	90	79	121	86
0610009D07Rik	91	118	105	133	165	171
0610009L18Rik	3	0	3	0	3	1
0610009O20Rik	160	179	79	78	110	123
0610010B08Rik	0	0	0	0	0	0
0610010F05Rik	75	120	107	96	115	87
0610010K14Rik	50	67	47	54	65	68
0610010O12Rik	172	176	146	125	180	188
0610011F06Rik	533	506	357	356	478	459
0610011L14Rik	107	111	89	81	87	125
0610012G03Rik	65	96	48	69	78	98
0610012H03Rik	18	4	5	21	12	18
0610030E20Rik	65	99	52	31	52	47
0610031J06Rik	366	372	162	267	328	341
0610037L13Rik	99	80	66	66	57	117
0610037P05Rik	264	282	240	253	317	266
0610038B21Rik	1	0	0	0	0	0
0610039K10Rik	0	0	0	0	0	0
0610040B10Rik	2	9	4	2	5	9
0610040F04Rik	0	0	0	0	0	0
0610040J01Rik	156	193	63	89	141	140
0610043K17Rik	0	1	3	1	0	1
0910001L09Rik	178	164	130	173	170	177
100043387	0	0	0	0	0	0
1100001G20Rik	0	0	0	3	0	1
1110001A16Rik	20	26	43	29	15	29
1110001J03Rik	55	42	28	52	53	59
1110002B05Rik	424	519	565	558	623	541
1110002L01Rik	20	29	18	19	25	27
1110002N22Rik	29	39	37	39	48	39
1110003E01Rik	1068	1111	825	824	988	949
1110004E09Rik	39	49	58	28	50	61
1110004F10Rik	111	104	121	111	124	107
1110005A03Rik	52	83	45	26	55	42
1110006O24Rik	0	2	1	1	0	1
1110007C09Rik	32	29	28	22	27	24
1110008F13Rik	481	524	440	522	543	624
1110008J03Rik	38	36	19	23	25	28
1110008L16Rik	59	63	55	52	58	73
1110008P14Rik	160	113	94	70	109	109
