ProbeIDs	GAOM_10	GAOM_11	GAOM_3	GAOM_6
0610005C13Rik	0	2	3	1
0610007C21Rik	180	209	205	138
0610007L01Rik	690	606	566	733
0610007P08Rik	163	158	132	166
0610007P14Rik	123	100	110	99
0610007P22Rik	52	58	43	48
0610008F07Rik	0	0	0	0
0610009B14Rik	0	0	0	0
0610009B22Rik	66	78	121	86
0610009D07Rik	91	118	165	171
0610009L18Rik	3	0	3	1
0610009O20Rik	160	179	110	123
0610010B08Rik	0	0	0	0
0610010F05Rik	75	120	115	87
0610010K14Rik	50	67	65	68
0610010O12Rik	172	176	180	188
0610011F06Rik	533	506	478	459
0610011L14Rik	107	111	87	125
0610012G03Rik	65	96	78	98
0610012H03Rik	18	4	12	18
0610030E20Rik	65	99	52	47
0610031J06Rik	366	372	328	341
0610037L13Rik	99	80	57	117
0610037P05Rik	264	282	317	266
0610038B21Rik	1	0	0	0
0610039K10Rik	0	0	0	0
0610040B10Rik	2	9	5	9
0610040F04Rik	0	0	0	0
0610040J01Rik	156	193	141	140
0610043K17Rik	0	1	0	1
0910001L09Rik	178	164	170	177
100043387	0	0	0	0
1100001G20Rik	0	0	0	1
1110001A16Rik	20	26	15	29
1110001J03Rik	55	42	53	59
1110002B05Rik	424	519	623	541
1110002L01Rik	20	29	25	27
1110002N22Rik	29	39	48	39
1110003E01Rik	1068	1111	988	949
1110004E09Rik	39	49	50	61
1110004F10Rik	111	104	124	107
1110005A03Rik	52	83	55	42
1110006O24Rik	0	2	0	1
1110007C09Rik	32	29	27	24
1110008F13Rik	481	524	543	624
1110008J03Rik	38	36	25	28
1110008L16Rik	59	63	58	73
1110008P14Rik	160	113	109	109
1110012D08Rik	18	18	21	18
1110012J17Rik	21	26	11	15
1110012L19Rik	25	28	32	29
1110014N23Rik	100	131	63	118
1110017D15Rik	0	0	0	0
1110017F19Rik	78	149	187	98
1110018G07Rik	119	111	84	132
1110018J18Rik	79	122	131	130
1110020A21Rik	1	7	5	6
1110020G09Rik	206	220	217	193
1110021J02Rik	92	105	81	124
1110021L09Rik	89	86	67	96
1110028C15Rik	132	162	120	157
1110031I02Rik	87	89	72	73
1110032A03Rik	124	126	134	93
1110032A04Rik	0	1	0	0
1110032F04Rik	0	0	0	0
1110034A24Rik	31	27	33	30
1110034B05Rik	16	19	20	24
1110034G24Rik	5	16	23	13
1110036E04Rik	0	0	0	0
1110037F02Rik	113	161	131	157
1110038B12Rik	52	71	28	121
1110038D17Rik	437	733	752	519
1110038F14Rik	62	66	57	50
1110046J04Rik	3	0	1	2
1110049F12Rik	111	188	145	147
1110051M20Rik	24	24	30	25
1110054M08Rik	31	47	42	23
1110054O05Rik	73	61	68	58
1110057K04Rik	159	188	156	177
1110058L19Rik	28	39	37	50
1110059E24Rik	74	71	87	94
1110059G10Rik	20	37	48	49
1110059M19Rik	0	0	0	0
1110065P20Rik	119	163	139	135
1110067D22Rik	79	79	95	185
1190002F15Rik	10	12	1	1
1190002H23Rik	3	0	2	1
1190002N15Rik	53	83	64	74
1190003J15Rik	186	123	156	177
1190003K10Rik	0	0	0	0
1190005F20Rik	37	53	36	54
1190005I06Rik	5	5	3	5
1190007F08Rik	200	156	145	160
1190007I07Rik	12	19	26	16
1200009I06Rik	2	0	0	0
1200011I18Rik	141	171	134	162
1200011M11Rik	61	86	74	83
1200014J11Rik	140	113	128	138
1200016B10Rik	109	99	86	103
1300001I01Rik	452	421	252	425
1300002E11Rik	47	51	50	53
1300002K09Rik	18	9	8	31
1300010F03Rik	355	388	323	367
1300014I06Rik	0	3	0	4
1300015D01Rik	0	0	0	0
1300017J02Rik	0	0	0	0
1300018I17Rik	60	68	53	61
1300018J18Rik	189	251	190	172
1500001M20Rik	29	32	17	30
1500002O10Rik	0	0	0	0
1500002O20Rik	30	28	29	20
1500003O03Rik	1038	901	1004	1030
1500004A13Rik	0	0	0	0
1500009C09Rik	0	0	0	0
1500009L16Rik	2	0	0	0
1500010J02Rik	36	49	36	47
1500011B03Rik	27	26	30	16
1500011H22Rik	20	12	21	17
1500011K16Rik	29	26	32	42
1500012F01Rik	87	224	165	403
1500015A07Rik	22	14	14	16
1500015O10Rik	0	0	0	0
1500016L03Rik	0	0	0	0
1500017E21Rik	0	0	0	0
1500031L02Rik	39	35	42	48
1500032L24Rik	450	378	361	299
1520402A15Rik	11	11	6	10
1600002D24Rik	2	0	1	2
1600002H07Rik	30	39	12	34
1600002K03Rik	26	28	22	37
1600010M07Rik	0	0	0	0
1600012F09Rik	39	26	23	60
1600012H06Rik	167	232	230	216
1600014C10Rik	83	110	105	103
1600014C23Rik	0	0	0	0
1600014K23Rik	0	0	0	0
1600015I10Rik	0	0	0	0
1600016N20Rik	15	17	10	16
1600019K03Rik	0	0	0	0
1600020E01Rik	8	23	15	27
1600021P15Rik	6	6	4	6
1600025M17Rik	0	0	0	0
1600027N09Rik	11	30	15	15
1600029D21Rik	41	33	28	45
1600029I14Rik	0	0	0	0
1600029O15Rik	0	1	0	1
1700001C02Rik	0	0	0	0
1700001C19Rik	0	1	0	0
1700001F09Rik	0	0	0	0
1700001G11Rik	0	0	0	0
1700001G17Rik	0	1	0	0
1700001J03Rik	0	0	0	1
1700001J11Rik	1	0	0	0
1700001K19Rik	0	0	0	0
1700001K23Rik	0	0	0	0
1700001L05Rik	11	8	6	6
1700001L19Rik	1	0	0	0
1700001O22Rik	12	6	9	9
1700001P01Rik	0	0	0	0
1700003E16Rik	4	0	1	0
1700003F12Rik	0	0	0	0
1700003G13Rik	0	0	0	0
1700003G18Rik	0	0	0	0
1700003H04Rik	0	0	0	0
1700003L19Rik	0	0	0	0
1700003M02Rik	0	1	0	0
1700003M07Rik	0	0	0	0
1700006A11Rik	0	0	0	0
1700006E09Rik	0	0	0	0
1700007B14Rik	0	0	1	0
1700007E06Rik	0	0	0	0
1700007F19Rik	0	0	0	0
1700007G11Rik	0	1	2	1
1700007I08Rik	0	0	0	0
1700007K09Rik	0	0	1	1
1700007K13Rik	0	1	0	2
1700007P06Rik	0	0	0	0
1700008A04Rik	0	0	0	0
1700008F21Rik	0	0	0	0
1700008I05Rik	0	0	0	0
1700008J07Rik	3	5	5	9
1700008K24Rik	0	0	0	0
1700008O03Rik	0	0	0	0
1700008P02Rik	0	0	0	0
1700008P20Rik	0	0	0	0
1700009J07Rik	0	0	0	0
1700009N14Rik	0	0	0	0
1700009P17Rik	9	5	2	4
1700010B08Rik	0	0	0	0
1700010D01Rik	0	0	0	0
1700010I02Rik	0	0	0	0
1700010I14Rik	3	7	5	2
1700010J16Rik	0	0	0	0
1700010K23Rik	0	0	0	0
1700010M22Rik	0	0	0	0
1700011A15Rik	0	0	0	0
1700011E24Rik	0	0	0	0
1700011F03Rik	0	0	0	0
1700011F14Rik	0	0	2	0
1700011H14Rik	7	13	11	9
1700011I03Rik	0	0	0	0
1700011L22Rik	0	0	0	0
1700011M02Rik	0	0	0	0
1700012A03Rik	0	0	0	0
1700012A16Rik	0	0	0	0
1700012B07Rik	0	0	0	0
1700012B09Rik	0	0	0	0
1700012B15Rik	13	25	17	17
1700012D14Rik	0	2	3	1
1700012L04Rik	0	0	0	0
1700012P22Rik	0	0	0	0
1700013D24Rik	0	0	0	0
1700013F07Rik	0	0	0	0
1700013G24Rik	0	0	0	0
1700013H16Rik	0	0	0	0
1700013N18Rik	0	0	0	0
1700014N06Rik	0	0	0	0
1700015E13Rik	0	0	0	0
1700015F17Rik	0	0	0	0
1700015G11Rik	0	0	0	0
1700016C15Rik	0	0	0	0
1700016D06Rik	0	0	0	0
1700016H13Rik	0	0	1	0
1700016K19Rik	2	4	0	4
1700016L21Rik	0	0	0	0
1700016M24Rik	0	0	0	0
1700016P04Rik	0	0	0	0
1700017B05Rik	73	121	83	94
1700017D01Rik	0	0	0	0
1700017G19Rik	0	0	0	0
